"index","timeStamp","voterAddress","txHash","importance","balance"
0,73926598,"NCO2T7IR2B672UGPD6XETAIH7Q22IPA4CIFTFVE7","27302afabc5bf25ced752e4564e633fefb4497e468417073889ac2d875df07b0",0.00001999963346237925,35027000000
1,73926461,"NDV7PSQJ2IJFMMACEBPS2GRUOQU4PAF3ZKD3VQKC","5caeee7e88dd4508b8ed3774977f43c385a3f2d47f430e3b306cd0e041077cab",0.000017668158856563128,11221921629
2,73926058,"NAAYLTNDMUGRDAEMDKL2432J2E3YNIQRVPYSOH74","8ea0d264ba42d1d6c9d9850e6f234a86fe641f2f2a423978257259c4fdcdbacc",0.000019861773004384066,35613247737
3,73924778,"NB6EVF6TWIJJ43PPFBPRJSHH3IGJRFB5BN3MUATA","7545fd22f73dcaf382fc10b6735b4030b475d1475b2f0da2561dc6721cdd6cab",0.00003822483628927265,220693819645
4,73924607,"NCEFYTWV55DEQFZY23HCKVVOPQXPQYMWDPIUUDRQ","2c3fec498d771b40eaa614c743eaf04566aa61186abf8409d39bbd0d5f29995e",0.000018116578631759234,17115055028
5,73924021,"NBPCVNXIASYIQ4QYCHF3HEDGP4NGMBPHCMBHJ2HZ","d2a7758f14f313b2f2d9646cd9bcf61517fb789cbeea20eb1d7d00192d5b3038",0.000057998742454934375,422035845114
6,73921042,"NDJPXGG5SUM7Q7JHVBIY6NDITSYYDA6Q4AK2NUHN","e9e32aff488676baa2c39a6027e8272e5239cb4647f0f779c056af12fb5b2171",0.000019686178400428403,31833786000
7,73920872,"ND7G6XBZPDFUCAYDQT6IIBDP3UZMQE5B7ZANYX4L","1b86440e960d70a25b690e45ed9e96c9bbf2d206c4674966eb74f2ce39e2eeeb",0.00031071530413929923,3000796000000
8,73920757,"NAUFIPHWAAFJWLE5C33WW36SI5BVDV32ODLFDFBK","99895dfcfd1869c4344d6cd17cf06f778deca9e3d9caaec989a2dd023db17cfd",0.000021673615827856575,52021604006
9,73920285,"NCN7OOHLKJPDHPUJIRCSGCW73JR74U7JNGA7ZY7H","888ea74985815194759fd382b42bbc7a0cb5dc16795b793afe686236020610de",0.00003737668698670048,200252127032
